seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
1774,INVALID,60.133,9,13,14,11,11,12,8,1,0.206043,1.0,4,36.919,220,27,1,4,36.502,26.137,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:14
1775,INVALID,63.086,7,11,15,11,10,12,6,0,0.14445,0.996714,5,24.661,185,27,1,3,25.562,22.543,unreachable_platforms:1,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:12
1776,INVALID,49.338,5,11,11,8,8,10,4,0,0.141225,0.997638,3,39.602,182,27,2,3,21.208,20.811,layout_count_below_minimum|unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1777,INVALID,28.114,7,11,13,6,6,10,6,1,0.173374,0.476127,5,33.65,205,27,2,4,42.825,11.029,unreachable_platforms:5|base_reachable_ratio_too_low:0.476,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:10
1778,INVALID,57.213,5,12,12,10,10,9,4,0,0.142099,0.999794,5,39.585,188,28,2,3,29.784,23.716,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
1779,VALID,76.293,7,13,14,13,13,9,6,0,0.187903,0.995861,5,23.164,206,28,0,3,41.778,21.942,,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:12
1780,INVALID,70.63,5,12,13,13,12,7,4,1,0.139882,0.997519,5,71.48,181,29,1,4,32.399,39.252,layout_count_below_minimum,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:3|raised_links_without_explicit_vertical_transition:6
1781,INVALID,63.404,6,12,12,10,10,8,5,0,0.144299,1.0,4,35.246,181,27,1,3,30.265,21.501,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:8
1782,INVALID,63.207,6,11,13,10,9,9,5,0,0.147407,1.0,5,49.033,188,28,1,3,37.557,21.693,unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:5|raised_links_without_explicit_vertical_transition:10
1783,INVALID,22.304,5,12,14,6,6,9,4,0,0.150245,0.675822,5,29.216,190,28,3,3,24.837,15.288,layout_count_below_minimum|unreachable_platforms:6|base_reachable_ratio_too_low:0.676,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:8
